Date,ADM,BF.B,BG,CAG,CHD,CL,CLX,COST,CPB,DG,DLTR,EL,GIS,HRL,HSY,K,KDP,KHC,KMB,KO,KR,KVUE,LW,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TGT,TSN,WMT
2023-01-10,77.19434356689453,,88.21875762939453,33.137718200683594,77.9520034790039,71.6241455078125,124.28215789794922,460.0049133300781,48.208805084228516,225.2143096923828,145.8800048828125,246.6810760498047,72.21885681152344,39.77046203613281,204.37936401367188,,32.31962585449219,35.21329879760742,118.1865005493164,56.020530700683594,42.56488800048828,,91.18547058105469,61.05169677734375,77.29843139648438,50.26499938964844,35.09425735473633,157.99642944335938,137.74514770507812,87.50730895996094,139.9351043701172,205.400390625,72.61972045898438,45.23239517211914,137.81251525878906,58.10246658325195,46.36846923828125
2023-01-11,77.59716796875,,89.07823944091797,33.20326614379883,78.36434936523438,70.54490661621094,125.13727569580078,462.7855224609375,47.89029312133789,220.6031036376953,147.94000244140625,247.77134704589844,72.13292694091797,40.55877685546875,206.0250701904297,,32.39207458496094,35.40462875366211,118.57797241210938,55.91232681274414,42.222373962402344,,90.43216705322266,61.28752517700195,76.51966094970703,50.845001220703125,34.96453094482422,158.17408752441406,136.6297149658203,87.39598083496094,138.93194580078125,207.86521911621094,73.20097351074219,45.28575897216797,140.4632110595703,58.30623245239258,46.77498245239258
2023-01-12,78.2327880859375,,90.96003723144531,32.88369369506836,78.04788208007812,70.2796401977539,125.90424346923828,460.98907470703125,47.11550521850586,216.6439666748047,146.6199951171875,246.49310302734375,70.91279602050781,40.30754852294922,203.8428955078125,,32.21095275878906,35.296485900878906,118.51709747314453,55.19099807739258,42.27790832519531,,90.26478576660156,60.55283737182617,74.18343353271484,50.02000045776367,34.64404296875,156.15745544433594,135.85885620117188,86.86507415771484,136.70555114746094,208.37872314453125,72.88311004638672,44.76103591918945,141.15245056152344,57.43798828125,46.352455139160156
2023-01-13,79.13695526123047,,90.85147094726562,32.70341873168945,78.54655456542969,71.20343017578125,128.80455017089844,463.6838073730469,47.31350326538086,217.5382537841797,147.25999450683594,251.16448974609375,70.89561462402344,40.1724853515625,206.04327392578125,,32.31962585449219,35.28816223144531,119.03034973144531,55.38935852050781,41.86134719848633,,91.28775787353516,60.824951171875,74.30252075195312,51.040000915527344,34.811920166015625,155.67776489257812,136.82920837402344,87.08770751953125,135.89596557617188,210.06858825683594,72.95577239990234,45.14345932006836,145.43785095214844,57.57088088989258,46.50611114501953
2023-01-17,78.85942840576172,,91.55714416503906,32.80174255371094,81.24115753173828,71.55097961425781,130.46189880371094,465.13616943359375,47.05523681640625,216.18748474121094,147.72999572753906,250.99526977539062,70.33712768554688,40.390342712402344,205.63409423828125,,32.3558464050293,35.21329879760742,119.05644226074219,55.61478042602539,42.75003433227539,,92.98963928222656,60.788665771484375,74.30252075195312,51.084999084472656,34.46090316772461,156.40626525878906,136.43019104003906,86.68523406982422,136.81117248535156,208.92958068847656,72.5379867553711,44.80551528930664,143.22886657714844,57.90755081176758,46.224430084228516
2023-01-18,76.09322357177734,,88.56253051757812,31.507049560546875,78.69039154052734,69.80403900146484,126.34500122070312,458.16064453125,45.26462936401367,210.74717712402344,144.35000610351562,247.4329833984375,67.37275695800781,38.74335479736328,197.0963134765625,,31.631393432617188,32.992191314697266,115.55937194824219,53.92866516113281,41.89836120605469,,90.29267883300781,58.56645584106445,70.70189666748047,50.369998931884766,33.58334732055664,152.46189880371094,132.77549743652344,84.9983139038086,132.15606689453125,205.02696228027344,70.20391845703125,43.604881286621094,142.10670471191406,56.58743667602539,45.08169937133789
2023-01-19,76.37074279785156,,89.01490783691406,31.359556198120117,77.24238586425781,68.77967834472656,123.23310852050781,448.6241455078125,45.1010627746582,209.10763549804688,142.80999755859375,243.91773986816406,66.54788970947266,38.74335479736328,196.50531005859375,,31.115224838256836,33.30830383300781,114.96784973144531,53.847511291503906,40.73195266723633,,88.94418334960938,57.904335021972656,70.2254867553711,49.93000030517578,33.987789154052734,150.69403076171875,129.96751403808594,86.6510009765625,132.05043029785156,202.21670532226562,69.90420532226562,44.1029167175293,140.578125,56.250770568847656,44.43832015991211
2023-01-20,75.86941528320312,,88.14636993408203,31.121912002563477,79.7835693359375,69.43314361572266,125.67503356933594,458.772216796875,44.79976272583008,214.82740783691406,147.7899932861328,251.48406982421875,66.55648040771484,38.84792709350586,195.05050659179688,,31.432165145874023,33.17519760131836,117.55150604248047,54.172122955322266,41.148529052734375,,89.7997817993164,58.085731506347656,70.94928741455078,50.0,34.29302215576172,150.91612243652344,130.4694366455078,87.19046783447266,131.0560760498047,206.22203063964844,70.68527221679688,44.44976806640625,143.32611083984375,57.32279968261719,44.98567581176758
2023-01-23,75.51133728027344,,86.5359878540039,30.67123031616211,79.9945297241211,69.48836517333984,125.93949890136719,470.7166748046875,44.40376663208008,215.25592041015625,150.99000549316406,257.9976501464844,66.50492095947266,38.9089241027832,197.34178161621094,,31.4140567779541,33.491310119628906,116.76856231689453,54.3073616027832,41.37995910644531,,89.39986419677734,58.3759880065918,72.05786895751953,50.05500030517578,34.19382095336914,150.240966796875,128.71730041503906,86.61673736572266,129.97366333007812,209.1349639892578,71.97490692138672,44.54758834838867,145.46435546875,58.60747146606445,45.657859802246094
2023-01-24,76.78253173828125,,87.36832427978516,30.531925201416016,79.32328033447266,69.89334106445312,125.31725311279297,470.2389221191406,44.248802185058594,218.0972137451172,146.52000427246094,260.5072326660156,66.16983032226562,38.8653564453125,200.29681396484375,,31.676666259765625,33.12528991699219,117.11654663085938,54.59589767456055,40.97264099121094,,90.19037628173828,58.81135177612305,72.01203155517578,51.5099983215332,34.17092514038086,151.63571166992188,129.4199981689453,86.74517822265625,131.64564514160156,212.40269470214844,70.93955993652344,45.774906158447266,144.5100860595703,57.80122756958008,45.77949905395508
2023-01-25,76.60350036621094,,87.6487808227539,30.433591842651367,78.74793243408203,69.73686218261719,125.75281524658203,469.06365966796875,44.472625732421875,222.10289001464844,149.55999755859375,257.480712890625,66.90876770019531,39.00477981567383,200.93331909179688,,31.658559799194336,33.233436584472656,114.880859375,54.938533782958984,41.56510543823242,,90.91576385498047,58.95647430419922,71.44402313232422,51.7599983215332,34.28538513183594,152.7372589111328,129.32872009277344,88.56058502197266,132.11204528808594,213.73777770996094,71.88408660888672,47.0644645690918,145.09324645996094,58.30623245239258,45.56184387207031
