sector,symbol_a,security_a,symbol_b,security_b,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Health Care,SYK,Stryker Corporation,VRTX,Vertex Pharmaceuticals,1006,0.8460771669058798,1.4352887045875498e-276,0.31941116247406914,0.3075223687909252,0.3312999561572131,1.3763170985289623
Health Care,BMY,Bristol Myers Squibb,HSIC,Henry Schein,1005,0.8461566823892556,2.124109085383232e-276,-0.625043768273392,-0.64485992879987,-0.6052276077469141,0.5352380015631331
Health Care,DXCM,Dexcom,VRTX,Vertex Pharmaceuticals,1006,-0.8438477260900326,1.0709169354811572e-273,1.3554482967773964,1.2906243279411442,1.4202722656136486,3.8784992856913187
Health Care,BSX,Boston Scientific,CI,Cigna,1255,0.7912081152928653,7.095113893566251e-270,1.0147188813644872,0.9947913247995771,1.0346464379293971,2.7585877979259643
Health Care,RMD,ResMed,ZTS,Zoetis,1255,0.7897422292398246,3.4086774243516847e-268,0.029285203721609563,0.016526764367831324,0.0420436430753878,1.0297182320718687
Health Care,COO,Cooper Companies (The),TMO,Thermo Fisher Scientific,1255,0.7883204916564495,1.4150041884070651e-266,-0.3365533814764035,-0.39557143702177133,-0.2775353259310357,0.714227756026403
Health Care,IDXX,Idexx Laboratories,MTD,Mettler Toledo,1255,0.7859942784084157,5.910276261126517e-264,0.38895402644879123,0.38007314854858365,0.3978349043489988,1.4754367187082706
Health Care,BDX,Becton Dickinson,TMO,Thermo Fisher Scientific,1255,0.7850730280551479,6.316704434198415e-263,-0.1748882712544289,-0.19628509335049876,-0.15349144915835905,0.839550817488896
Health Care,MDT,Medtronic,SYK,Stryker Corporation,1255,0.7828212910785556,1.9680961526350066e-260,-0.538927517757734,-0.5510500357908741,-0.5268049997245938,0.5833735747900277
Health Care,LH,Labcorp,REGN,Regeneron Pharmaceuticals,1255,0.7821772149830581,1.004166217826594e-259,0.08854192504627925,0.05552976546254966,0.12155408463000884,1.0925800581197742
