symbol_a,symbol_b,n_days,pearson_r,adf_t,half_life,exc_ge_1_5,revert_rate,mean_log_rel_pe,spread_sd,score,security_a,security_b,corr_z,adf_z,hl_z,exc_z,rev_z
BIIB,REGN,1255,0.8381079286867351,-2.744273367668965,56.267629366265936,4,0.75,-0.012767106987265065,0.2283303016002805,0.06059772545413883,Biogen,Regeneron Pharmaceuticals,0.575042273349188,-0.07117252737357146,0.47899318877714814,0.0,-1.899204624626543
BMY,MDT,1005,0.7807607468781816,-2.788420778843304,49.31325655577327,4,0.75,-0.5945895544333121,0.23501923233261404,0.0010785362452840341,Bristol Myers Squibb,Medtronic,-0.021431942194005738,0.009648791119616461,0.9750819179311797,0.0,-1.899204624626543
STE,TMO,1255,0.7790788056227392,-2.97914226693435,46.86682414041711,3,0.6666666666666666,0.1920085489820266,0.18670605688909933,-0.04309352983415843,Steris,Thermo Fisher Scientific,-0.03892599437391793,0.3588054397763068,1.166419028694843,-0.6744907594765952,-2.532272832835391
MTD,RMD,1255,0.835974304173333,-2.348749174443377,61.39896012178976,5,0.8,0.11090570173599057,0.13689937081470166,-0.05356083629349259,Mettler Toledo,ResMed,0.552850214947018,-0.7952645169629234,0.15081492255883502,0.6744907594765952,-1.519363699701234
MDT,TMO,1255,0.6967084430210495,-3.1453966193520326,54.1999181047783,3,1.0,-0.29893285141229364,0.19892490791173384,-0.08012579214413985,Medtronic,Thermo Fisher Scientific,-0.8956690088933024,0.6631697413333246,0.6197804455600447,-0.6744907594765952,0.0
HSIC,MCK,1255,0.835370234072183,-2.697138439060629,75.62239985042538,3,1.0,0.1049917814785211,0.21682318918267862,-0.10310698135640088,Henry Schein,McKesson Corporation,0.5465672167533254,-0.15746313821288316,-0.6326887395384421,-0.6744907594765952,0.0
DHR,HSIC,1255,0.8621058217199427,-2.219932317976605,85.40970603027704,5,1.0,0.42450888799509895,0.17432671962194854,-0.1272750817574752,Danaher Corporation,Henry Schein,0.8246469438883244,-1.0310914410531802,-1.0903495929108338,0.6744907594765952,0.0
CNC,ZTS,1050,0.6527817594886959,-3.40974259827826,31.1501441624084,4,1.0,-0.9876925452394612,0.17486056689098606,-0.13177865801694372,Centene Corporation,Zoetis,-1.3525551761829877,1.1471118341283038,-0.06395031847061662,0.0,0.0
BMY,DHR,1005,0.8520969748667514,-2.2808591872933963,61.90238953681164,4,0.75,-1.021332797041048,0.19907793959617812,-0.1796235573010781,Bristol Myers Squibb,Danaher Corporation,0.7205438495954017,-0.9195517204023026,0.12010840191765676,0.0,-1.899204624626543
COO,PFE,1129,0.7179733174294873,-2.9501931055284256,43.48117255476402,3,0.6666666666666666,0.36665094543270704,0.5439382592435613,-0.24226448917266524,Cooper Companies (The),Pfizer,-0.6744907594765952,0.30580778188739094,1.19015845201747,-0.6744907594765952,-2.532272832835391
